iindex,DateTime,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,CH4 (ppmv),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),LL,Year,Month,Day,Hour
0,2009-07-21 19:21:00,19:22:35,40015.80669,40015.80735,35.0,-118.9433333,6151.0,1874.8248,1.947,194.7,,,518.0,,,532.0,237.0,76.4,16.5,4.171,3.4,,53.6,209.0,23.8,23.7,13.8,9.23,87.5,49.8,0.2,2.38,528.0,9.81,0.146,0.67,0.18,,,,,10.93,3.89,4.05,0.65,1.97,0.39,0.625,,410.0,11.0,29.0,61.0,12.0,7.0,8.0,,,,,10.0,4.0,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,10.0,,,,8.0,4.0,,,,,,,,,,24.0,92.0,116.0,,,"(35.0, -118.9433333)",2009,7,21,19
1,2009-07-21 19:24:00,19:24:57,40015.80833,40015.80899,35.08166667,-119.101,3772.0,1149.7056,1.808,180.8,,,519.0,,,542.0,244.0,77.8,16.9,4.343,4.0,,53.9,211.0,24.5,25.1,14.85,9.09,89.8,49.7,0.21,2.72,520.0,9.66,0.156,0.61,0.18,,,,,7.69,3.37,3.34,0.5,2.41,0.61,1.105,,523.0,23.0,43.0,131.0,10.0,23.0,65.0,,,,,143.0,96.0,,,,,,,,,,17.0,7.0,,,,5.0,,37.0,8.0,4.0,8.0,,,,5.0,,,4.0,,,,11.0,8.0,,,,,,,,4.0,,32.0,124.0,171.0,3.0,,"(35.08166667, -119.101)",2009,7,21,19
2,2009-07-21 19:26:00,19:26:57,40015.80972,40015.81038,35.17,-119.2333333,1600.0,487.68,1.94,194.0,,,495.0,14.0,,533.0,239.0,76.3,16.7,4.6,8.2,,63.8,223.0,24.9,26.3,24.0,9.18,88.7,56.0,0.39,6.3,501.0,12.34,0.421,0.67,0.3,,,,,11.76,8.66,16.09,2.17,17.4,2.54,4.975,,1596.0,64.0,117.0,992.0,7.0,180.0,355.0,,,,,145.0,109.0,,4.0,,,,,,,,22.0,10.0,3.0,,,10.0,5.0,60.0,16.0,11.0,15.0,,,,,12.0,,11.0,,,,21.0,24.0,,,,,,,,,,5.0,9.0,6.0,,,"(35.17, -119.2333333)",2009,7,21,19
3,2009-07-21 19:29:00,19:30:10,40015.81198,40015.81262,35.34666667,-119.3816667,1221.0,372.1608,1.944,194.4,,,505.0,11.9,,535.0,242.0,77.4,16.9,4.448,7.2,,65.2,229.0,25.0,26.9,22.35,9.32,89.9,58.6,0.32,5.04,523.0,12.39,0.399,0.65,0.3,,,,,10.59,7.86,11.37,1.7,9.44,1.57,2.94,,1037.0,65.0,107.0,519.0,8.0,94.0,143.0,,,,,95.0,55.0,,,,,,,,,,13.0,7.0,,,,5.0,,49.0,6.0,11.0,12.0,,,,,10.0,,4.0,,,,19.0,24.0,,,,,,,,,,8.0,19.0,19.0,,,"(35.34666667, -119.3816667)",2009,7,21,19
4,2009-07-21 19:31:00,19:31:53,40015.81319,40015.81381,35.43833333,-119.4333333,1220.0,371.856,1.922,192.2,,,487.0,17.4,,538.0,240.0,76.6,16.7,4.448,4.0,,59.2,222.0,23.6,26.5,27.9,9.25,89.5,66.5,0.28,4.21,503.0,11.44,0.375,0.67,0.26,,,,,10.8,6.71,8.35,1.28,5.63,0.95,1.745,,710.0,45.0,94.0,252.0,7.0,40.0,66.0,,,,,59.0,30.0,,,,,,,,,,9.0,4.0,,,,8.0,,42.0,5.0,7.0,10.0,,,,5.0,6.0,,,,,,15.0,17.0,,,,,,,,,,,9.0,6.0,,5.0,"(35.43833333, -119.4333333)",2009,7,21,19
5,2009-07-21 19:33:00,19:33:56,40015.81458,40015.81523,35.56666667,-119.4333333,1212.0,369.4176,2.008,200.8,,,502.0,13.2,,530.0,243.0,77.4,16.6,4.467,3.5,,63.8,267.0,25.6,27.7,22.05,9.42,91.0,60.3,0.34,4.94,517.0,11.64,0.421,0.69,0.28,,,,,11.42,8.0,10.38,1.63,8.04,1.1,2.245,,742.0,53.0,109.0,344.0,9.0,66.0,112.0,,,,,72.0,39.0,,,,,,,,,,11.0,4.0,,,,8.0,,48.0,5.0,29.0,13.0,,,,,10.0,,,,,,19.0,19.0,,,,,,,,,,8.0,18.0,16.0,3.0,4.0,"(35.56666667, -119.4333333)",2009,7,21,19
6,2009-07-21 19:34:00,19:35:08,40015.81563,40015.81606,35.65666667,-119.4416667,1211.0,369.1128,1.863,186.3,,,494.0,7.7,,539.0,241.0,77.6,16.9,4.438,3.4,,63.1,228.0,24.8,27.5,21.3,9.27,90.1,57.4,0.28,4.88,515.0,11.83,0.43,0.68,0.28,,,,,11.04,7.26,9.31,1.43,6.44,1.02,1.86,,779.0,50.0,110.0,301.0,6.0,45.0,69.0,,,,,59.0,28.0,,,,,,,,,,8.0,5.0,,,,7.0,,36.0,4.0,6.0,8.0,,,,,8.0,,,,,,19.0,18.0,,,,,,,,,,7.0,18.0,18.0,,,"(35.65666667, -119.4416667)",2009,7,21,19
7,2009-07-21 19:36:00,19:36:38,40015.81667,40015.81711,35.75666667,-119.45,1214.0,370.0272,1.885,188.5,,,491.0,8.3,,531.0,240.0,77.0,16.6,4.324,3.3,,59.3,220.0,24.3,26.1,34.95,9.2,89.3,60.3,0.25,4.36,505.0,10.9,0.37,0.65,0.26,,,,,10.57,6.53,7.84,1.27,4.99,0.78,1.47,,655.0,46.0,91.0,241.0,8.0,34.0,46.0,,,,,46.0,21.0,,,,,,,,,,8.0,4.0,,,,7.0,,29.0,,6.0,9.0,,,,,6.0,,,,,,15.0,13.0,,,,,,,,,,3.0,8.0,6.0,,,"(35.75666667, -119.45)",2009,7,21,19
8,2009-07-21 19:37:00,19:38:08,40015.81771,40015.81815,35.85666667,-119.4566667,1211.0,369.1128,1.889,188.9,,,510.0,6.4,,544.0,244.0,78.0,16.5,4.429,3.7,,57.6,225.0,25.4,26.6,18.15,9.28,90.3,57.7,0.23,3.81,523.0,10.87,0.295,0.63,0.26,,,,,9.01,5.37,6.09,0.99,3.87,0.53,1.065,,573.0,38.0,70.0,165.0,6.0,22.0,39.0,,,,,39.0,16.0,,6.0,,,,,,,,7.0,4.0,,,,,,37.0,,26.0,7.0,,,,10.0,5.0,,,,,,13.0,10.0,,,,,,,,,,4.0,13.0,9.0,,,"(35.85666667, -119.4566667)",2009,7,21,19
9,2009-07-21 19:39:00,19:39:38,40015.81875,40015.81919,35.95833333,-119.45,1217.0,370.9416,1.88,188.0,,,496.0,11.7,,537.0,242.0,77.7,16.8,4.371,3.4,,59.7,223.0,25.3,27.0,21.0,9.26,90.2,57.7,0.26,4.23,511.0,10.57,0.409,0.66,0.3,,,,,10.64,6.9,8.5,1.37,5.56,0.73,1.49,,633.0,54.0,100.0,237.0,7.0,28.0,50.0,,,,,56.0,21.0,,,,,,,,,,7.0,4.0,,,,7.0,,37.0,4.0,6.0,8.0,,,,,6.0,,,,,,16.0,15.0,,,,,,,,,,4.0,10.0,8.0,,,"(35.95833333, -119.45)",2009,7,21,19
